period,family,p1,p2,sample_phase,peak_to_peak,capture,net_log_per_cycle,long_log_per_cycle,short_log_per_cycle,reversals_per_cycle
24,triangle,0.125,0.0,0,0.002,-0.047619047619053494,-0.00019047619047621398,-9.523809523815863e-05,-9.52380952380553e-05,2.0
24,triangle,0.125,0.0,1,0.002,-0.04761904761905349,-0.00019047619047621395,-9.523809523815863e-05,-9.523809523805527e-05,2.0
24,triangle,0.125,0.0,2,0.002,-0.04761904761905348,-0.00019047619047621393,-9.523809523815863e-05,-9.52380952380553e-05,2.0
24,triangle,0.125,0.0,3,0.002,-0.04761904761905348,-0.00019047619047621393,-9.523809523815863e-05,-9.523809523805527e-05,2.0
24,triangle,0.125,0.0,4,0.002,-0.04761904761905344,-0.00019047619047621376,-9.523809523815863e-05,-9.523809523805529e-05,2.0
24,triangle,0.25,0.0,0,0.002,0.16666666666648697,0.0006666666666659479,0.00033333333333308965,0.00033333333333285817,2.0
24,triangle,0.25,0.0,1,0.002,0.166666666666487,0.000666666666665948,0.00033333333333308965,0.00033333333333285817,2.0
24,triangle,0.25,0.0,2,0.002,0.16666666666648697,0.0006666666666659479,0.00033333333333308965,0.00033333333333285817,2.0
24,triangle,0.25,0.0,3,0.002,0.16666666666648694,0.0006666666666659478,0.00033333333333308965,0.00033333333333285817,2.0
24,triangle,0.25,0.0,4,0.002,0.16666666666648697,0.0006666666666659479,0.00033333333333308965,0.00033333333333285817,2.0
24,triangle,0.5,0.0,0,0.002,0.33333333333321347,0.0013333333333328539,0.000666666666666231,0.0006666666666666228,2.0
24,triangle,0.5,0.0,1,0.002,0.33333333333321347,0.0013333333333328539,0.000666666666666231,0.000666666666666623,2.0
24,triangle,0.5,0.0,2,0.002,0.33333333333321347,0.001333333333332854,0.000666666666666231,0.0006666666666666228,2.0
24,triangle,0.5,0.0,3,0.002,0.3333333333332134,0.0013333333333328539,0.000666666666666231,0.000666666666666623,2.0
24,triangle,0.5,0.0,4,0.002,0.33333333333321347,0.0013333333333328539,0.000666666666666231,0.000666666666666623,2.0
24,triangle,0.75,0.0,0,0.002,0.16666666666666788,0.0006666666666666715,0.00033333333333315297,0.00033333333333351856,2.0
24,triangle,0.75,0.0,1,0.002,0.16666666666666788,0.0006666666666666715,0.00033333333333315297,0.00033333333333351856,2.0
24,triangle,0.75,0.0,2,0.002,0.16666666666666788,0.0006666666666666715,0.00033333333333315297,0.00033333333333351856,2.0
24,triangle,0.75,0.0,3,0.002,0.16666666666666788,0.0006666666666666715,0.0003333333333331529,0.00033333333333351856,1.984375
